trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.5,9,1,0,0.1,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,0.1,chen12,-0.4890000000000001,2.9955910120778557,0.016667033329300092
-0.09999999999999998,9,1,0,0.1,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.1,chen12,-0.14700000000000002,2.9956598451256933,0.011870551798463289
0.0,9,1,0,0.1,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.1,chen12,-0.13299999999999998,2.9956786123504835,0.01010494928240612
0.0,9,1,0,0.1,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.1,chen12,-0.13299999999999998,2.9956786123504835,0.01010494928240612
0.0,9,1,0,0.1,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.1,chen12,-0.13299999999999998,2.9956786123504835,0.01010494928240612
-0.4,9,1,0,0.1,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,0.1,chen12,-0.391,2.995594565174477,0.016192282112166896
0.5,9,1,0,0.1,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,0.1,chen12,-0.5109999999999999,2.995591916337311,0.016667033329300092
0.7,9,1,0,0.1,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,0.1,chen12,-0.711,2.9955919163373115,0.01666703332930009
mean,9,1,0,0.1,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,0.1,chen12,-0.3105555555555556,2.9956361041366435,0.005466790874831028
-0.09999999999999998,9,1,0,1.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,1.0,chen12,-0.17900000000000005,2.995577607556918,0.01498632710172843
-0.5,9,1,0,1.0,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,1.0,chen12,-0.49900000000000005,2.9953730114877173,0.021142138018658378
-0.09999999999999998,9,1,0,1.0,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,1.0,chen12,-0.17900000000000005,2.995577607556918,0.01498632710172843
0.0,9,1,0,1.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,1.0,chen12,-0.161,2.9955896566592797,0.01370364914904056
0.0,9,1,0,1.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,1.0,chen12,-0.161,2.9955896566592797,0.01370364914904056
0.0,9,1,0,1.0,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,1.0,chen12,-0.161,2.9955896566592797,0.01370364914904056
-0.4,9,1,0,1.0,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,1.0,chen12,-0.3990000000000001,2.9954132062470267,0.021142138018658378
0.5,9,1,0,1.0,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,1.0,chen12,-0.503,2.995350706427769,0.020661800502376364
0.7,9,1,0,1.0,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,1.0,chen12,-0.701,2.9953520792241712,0.02114213801865838
mean,9,1,0,1.0,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,1.0,chen12,-0.32699999999999996,2.9954903542753737,0.007519940569767791
