trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
0.05263157894736836,9,1,0,0.1,median,-0.2326315789473684,2.9952540624818864,0.01781996763570002
0.05263157894736836,9,1,0,0.1,chen12,-0.14,2.9956728211384296,0.010636788718322233
0.05263157894736836,9,1,0,0.1,median,-0.2326315789473684,2.9952540624818864,0.01781996763570002
0.05263157894736836,9,1,0,0.1,chen12,-0.14,2.9956728211384296,0.010636788718322233
0.05263157894736836,9,1,0,0.1,median,-0.2326315789473684,2.9952540624818864,0.01781996763570002
0.05263157894736836,9,1,0,0.1,chen12,-0.14,2.9956728211384296,0.010636788718322233
-0.368421052631579,9,1,0,0.1,median,-0.41578947368421054,2.9934064660304123,0.0254107530622596
-0.368421052631579,9,1,0,0.1,chen12,-0.4115789473684209,2.9955796642213337,0.01704450748649147
0.5789473684210527,9,1,0,0.1,median,-0.5610526315789474,2.992477456666531,0.028325570605700144
0.5789473684210527,9,1,0,0.1,chen12,-0.5378947368421053,2.9955767799818016,0.01754424560978957
0.7894736842105263,9,1,0,0.1,median,-0.7673684210526317,2.992395281602842,0.029144591302951335
0.7894736842105263,9,1,0,0.1,chen12,-0.7484210526315792,2.995576779981801,0.017544245609789566
mean,9,1,0,0.1,median,-0.3785964912280702,2.994151221079231,0.011018580549927855
mean,9,1,0,0.1,chen12,-0.32690058479532164,2.9956257207859944,0.005754516710348451
-0.052631578947368474,11,1,0,0.1,median,-0.22421052631578944,2.9953468213219763,0.01688514238142507
-0.052631578947368474,11,1,0,0.1,chen12,-0.15473684210526314,2.995678535934675,0.01359933190472413
-0.4736842105263158,11,1,0,0.1,median,-0.4831578947368422,2.9935012112984865,0.026382861892941978
-0.4736842105263158,11,1,0,0.1,chen12,-0.5042105263157894,2.995591377642595,0.01884739708106406
-0.052631578947368474,11,1,0,0.1,median,-0.22421052631578944,2.9953468213219763,0.01688514238142507
-0.052631578947368474,11,1,0,0.1,chen12,-0.15473684210526314,2.995678535934675,0.01359933190472413
0.05263157894736836,11,1,0,0.1,median,-0.2326315789473684,2.995308576890869,0.015491575764511175
0.05263157894736836,11,1,0,0.1,chen12,-0.14421052631578948,2.995701167397475,0.0123346683912187
0.05263157894736836,11,1,0,0.1,median,-0.2326315789473684,2.995308576890869,0.015491575764511175
0.05263157894736836,11,1,0,0.1,chen12,-0.14421052631578948,2.995701167397475,0.0123346683912187
0.05263157894736836,11,1,0,0.1,median,-0.2326315789473684,2.995308576890869,0.015491575764511175
0.05263157894736836,11,1,0,0.1,chen12,-0.14421052631578948,2.995701167397475,0.0123346683912187
-0.368421052631579,11,1,0,0.1,median,-0.3905263157894736,2.9938549366388445,0.02474445571522355
-0.368421052631579,11,1,0,0.1,chen12,-0.4031578947368421,2.995592258899946,0.017929069232553774
0.5789473684210527,11,1,0,0.1,median,-0.58,2.9934683163935776,0.02660868581243388
0.5789473684210527,11,1,0,0.1,chen12,-0.5484210526315789,2.99559062929964,0.01884739708106406
